Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Argentina,29.4,7.6,18.9,29.7,24.8,41.5
Colombia,28.8,8.6,19.1,30.3,20.5,33.7
Estonia,52.0,15.0,34.2,46.4,50.6,80.4
Georgia,33.4,13.7,23.9,33.3,31.6,35.3
Mexico,40.2,15.5,28.4,43.4,35.7,45.4
Philippines,31.0,7.1,19.6,35.0,16.8,33.3
Portugal,45.1,24.0,35.0,43.8,36.9,56.9
Serbia,37.7,12.4,25.6,36.0,31.2,50.2
Spain,47.3,22.9,35.6,46.0,44.1,92.1
Thailand,34.1,11.2,23.1,40.5,18.3,40.8
Uruguay,54.1,13.8,34.8,52.1,50.2,56.3
Vietnam,28.7,9.0,19.2,33.9,14.8,40.5
